year,month,day,hour,REPORT_ID,avgMeasuredTime,vehicleCount,avgSpeed
2014,08,01,07,182929,37.0,12,49.0
2014,08,01,08,182929,35.916666666666664,148,51.166666666666664
2014,08,01,09,182929,35.583333333333336,132,51.75
2014,08,01,10,182929,35.75,124,51.5
2014,08,01,11,182929,37.0,97,49.5
2014,08,01,12,182929,37.25,129,49.25
2014,08,01,13,182929,36.416666666666664,112,50.166666666666664
2014,08,01,14,182929,37.0,110,49.5
2014,08,01,15,182929,36.333333333333336,90,50.333333333333336
2014,08,01,16,182929,36.666666666666664,77,50.166666666666664
2014,08,01,17,182929,29.0,39,54.416666666666664
2014,08,01,18,182929,31.583333333333332,51,58.833333333333336
2014,08,01,19,182929,34.583333333333336,31,54.833333333333336
2014,08,01,22,182929,29.5,2,63.5
2014,08,02,00,182929,29.583333333333332,3,62.083333333333336
2014,08,02,01,182929,26.583333333333332,8,71.0
2014,08,02,02,182929,27.5,0,69.0
2014,08,02,03,182929,37.416666666666664,5,60.416666666666664
2014,08,02,04,182929,28.714285714285715,8,65.71428571428571
2014,08,02,05,182929,32.333333333333336,3,57.666666666666664
2014,08,02,06,182929,29.25,17,63.666666666666664
2014,08,02,07,182929,34.166666666666664,73,54.333333333333336
2014,08,02,08,182929,38.333333333333336,93,47.833333333333336
2014,08,02,09,182929,37.583333333333336,124,49.0
2014,08,02,10,182929,37.416666666666664,116,48.916666666666664
2014,08,02,11,182929,36.75,92,50.5
2014,08,02,12,182929,37.083333333333336,56,49.666666666666664
2014,08,02,13,182929,38.166666666666664,64,49.083333333333336
2014,08,02,14,182929,31.416666666666668,36,59.166666666666664
2014,08,02,15,182929,32.166666666666664,51,57.583333333333336
2014,08,02,16,182929,32.5,39,57.333333333333336
2014,08,02,17,182929,31.0,39,60.083333333333336
2014,08,02,18,182929,35.75,29,52.833333333333336
2014,08,02,19,182929,32.666666666666664,22,57.666666666666664
2014,08,02,20,182929,39.583333333333336,22,48.75
2014,08,02,21,182929,30.666666666666668,23,61.166666666666664
2014,08,02,22,182929,28.5,13,65.25
2014,08,02,23,182929,31.545454545454547,8,57.90909090909091
2014,08,03,00,182929,38.916666666666664,4,52.25
2014,08,03,01,182929,30.5,1,60.416666666666664
2014,08,03,02,182929,102.83333333333333,1,23.833333333333332
2014,08,03,03,182929,46.583333333333336,8,67.33333333333333
2014,08,03,04,182929,31.727272727272727,8,61.63636363636363
2014,08,03,05,182929,39.81818181818182,6,48.18181818181818
2014,08,03,06,182929,27.916666666666668,14,66.16666666666667
2014,08,03,07,182929,33.083333333333336,46,55.666666666666664
2014,08,03,08,182929,33.083333333333336,62,55.583333333333336
2014,08,03,09,182929,33.0,47,55.583333333333336
2014,08,03,10,182929,35.583333333333336,72,51.75
2014,08,03,11,182929,33.25,74,55.666666666666664
2014,08,03,12,182929,34.833333333333336,75,52.833333333333336
2014,08,03,13,182929,34.833333333333336,66,53.166666666666664
2014,08,03,14,182929,37.75,71,50.0
2014,08,03,15,182929,32.666666666666664,72,56.416666666666664
2014,08,03,16,182929,37.666666666666664,39,49.583333333333336
2014,08,03,17,182929,32.25,21,58.25
2014,08,03,18,182929,32.5,42,56.833333333333336
2014,08,03,19,182929,31.25,21,58.75
2014,08,03,20,182929,36.166666666666664,22,52.416666666666664
2014,08,03,21,182929,36.833333333333336,4,49.916666666666664
2014,08,03,22,182929,27.5,7,67.66666666666667
2014,08,03,23,182929,23.916666666666668,3,76.91666666666667
2014,08,04,00,182929,23.0,0,80.0
2014,08,04,01,182929,23.5,1,78.33333333333333
2014,08,04,02,182929,30.583333333333332,4,61.333333333333336
2014,08,04,03,182929,31.083333333333332,28,59.75
2014,08,04,04,182929,30.75,97,59.75
2014,08,04,05,182929,38.25,155,48.25
2014,08,04,06,182929,37.833333333333336,214,48.333333333333336
2014,08,04,07,182929,35.916666666666664,142,51.166666666666664
2014,08,04,08,182929,37.666666666666664,150,48.666666666666664
2014,08,04,09,182929,37.166666666666664,123,49.25
2014,08,04,10,182929,37.083333333333336,109,49.583333333333336
2014,08,04,11,182929,35.916666666666664,94,51.25
2014,08,04,12,182929,36.666666666666664,85,50.0
2014,08,04,13,182929,39.0,117,47.25
2014,08,04,14,182929,37.833333333333336,139,48.5
2014,08,04,15,182929,36.5,100,50.083333333333336
2014,08,04,16,182929,33.666666666666664,76,55.25
2014,08,04,17,182929,33.416666666666664,49,55.75
2014,08,04,18,182929,33.833333333333336,27,55.0
2014,08,04,19,182929,33.25,23,55.833333333333336
2014,08,04,22,182929,29.833333333333332,4,62.5
2014,08,04,23,182929,33.416666666666664,4,54.583333333333336
2014,08,05,00,182929,33.0,0,55.0
2014,08,05,01,182929,33.0,0,55.0
2014,08,05,02,182929,33.166666666666664,4,54.833333333333336
2014,08,05,03,182929,32.333333333333336,31,56.916666666666664
2014,08,05,04,182929,32.25,76,57.416666666666664
2014,08,05,05,182929,38.5,201,48.166666666666664
2014,08,05,06,182929,36.833333333333336,194,49.833333333333336
2014,08,05,07,182929,37.0,126,50.0
2014,08,05,08,182929,36.666666666666664,140,50.083333333333336
2014,08,05,09,182929,36.416666666666664,131,50.583333333333336
2014,08,05,10,182929,35.5,141,51.75
2014,08,05,11,182929,36.25,102,51.0
2014,08,05,12,182929,35.81818181818182,108,51.27272727272727
2014,08,05,13,182929,36.916666666666664,120,49.833333333333336
2014,08,05,14,182929,39.416666666666664,128,46.75
2014,08,05,15,182929,36.75,98,49.916666666666664
2014,08,05,16,182929,34.833333333333336,72,53.083333333333336
2014,08,05,17,182929,34.666666666666664,28,53.666666666666664
2014,08,05,18,182929,33.083333333333336,27,56.166666666666664
2014,08,05,19,182929,34.0,42,54.833333333333336
2014,08,05,20,182929,32.5,8,56.0
2014,08,05,21,182929,26.1,9,71.0
2014,08,05,22,182929,29.5,4,62.125
2014,08,05,23,182929,29.0,2,63.0
2014,08,06,00,182929,29.0,0,63.0
2014,08,06,01,182929,31.25,1,59.25
2014,08,06,02,182929,38.0,0,48.0
2014,08,06,03,182929,31.166666666666668,24,59.916666666666664
2014,08,06,04,182929,34.166666666666664,91,54.666666666666664
2014,08,06,05,182929,35.5,183,51.5
2014,08,06,06,182929,38.416666666666664,149,48.166666666666664
2014,08,06,07,182929,37.0,144,49.5
2014,08,06,08,182929,38.833333333333336,138,47.25
2014,08,06,09,182929,38.833333333333336,153,47.083333333333336
2014,08,06,10,182929,38.25,135,47.75
2014,08,06,11,182929,35.916666666666664,169,51.083333333333336
2014,08,06,12,182929,37.75,109,48.583333333333336
2014,08,06,13,182929,39.75,148,46.25
2014,08,06,14,182929,37.166666666666664,112,49.75
2014,08,06,15,182929,35.666666666666664,100,51.583333333333336
2014,08,06,16,182929,32.166666666666664,55,57.25
2014,08,06,17,182929,32.75,44,56.25
2014,08,06,18,182929,37.333333333333336,25,51.583333333333336
2014,08,06,19,182929,34.583333333333336,26,55.166666666666664
2014,08,06,20,182929,29.0,0,63.0
2014,08,06,21,182929,29.0,6,63.166666666666664
2014,08,06,22,182929,27.555555555555557,1,66.55555555555556
2014,08,06,23,182929,25.0,0,73.0
2014,08,07,00,182929,29.0,0,63.0
2014,08,07,01,182929,28.666666666666668,4,63.666666666666664
2014,08,07,02,182929,31.5,3,59.666666666666664
2014,08,07,03,182929,27.916666666666668,20,66.75
2014,08,07,04,182929,33.416666666666664,69,56.0
2014,08,07,05,182929,38.833333333333336,211,47.833333333333336
2014,08,07,06,182929,39.166666666666664,208,46.75
2014,08,07,07,182929,39.25,171,46.833333333333336
2014,08,07,08,182929,41.833333333333336,112,44.5
2014,08,07,09,182929,37.166666666666664,125,49.416666666666664
2014,08,07,10,182929,35.666666666666664,120,51.5
2014,08,07,11,182929,35.583333333333336,115,51.416666666666664
2014,08,07,12,182929,37.416666666666664,150,48.833333333333336
2014,08,07,13,182929,37.583333333333336,138,48.666666666666664
2014,08,07,14,182929,37.916666666666664,112,48.833333333333336
2014,08,07,15,182929,35.25,125,52.0
2014,08,07,16,182929,36.083333333333336,62,52.333333333333336
2014,08,07,17,182929,31.583333333333332,46,58.583333333333336
2014,08,07,18,182929,34.083333333333336,20,55.166666666666664
2014,08,07,19,182929,30.416666666666668,42,60.166666666666664
2014,08,07,20,182929,31.8,15,57.8
2014,08,07,21,182929,37.42857142857143,9,52.142857142857146
2014,08,07,22,182929,30.5,6,60.75
2014,08,07,23,182929,33.8,4,55.0
2014,08,08,00,182929,33.0,0,55.0
2014,08,08,01,182929,34.5,5,53.5
2014,08,08,02,182929,28.25,1,64.5
2014,08,08,03,182929,29.75,16,62.25
2014,08,08,04,182929,32.416666666666664,58,56.416666666666664
2014,08,08,05,182929,36.5,172,50.25
2014,08,08,06,182929,38.0,192,48.833333333333336
2014,08,08,07,182929,34.0,147,54.25
2014,08,08,08,182929,36.666666666666664,142,50.0
2014,08,08,09,182929,36.0,115,51.333333333333336
2014,08,08,10,182929,36.166666666666664,130,50.75
2014,08,08,11,182929,37.833333333333336,119,48.5
2014,08,08,12,182929,37.0,127,49.5
2014,08,08,13,182929,37.25,156,49.083333333333336
2014,08,08,14,182929,37.0,119,49.75
2014,08,08,15,182929,35.583333333333336,90,51.666666666666664
2014,08,08,16,182929,30.916666666666668,51,59.833333333333336
2014,08,08,17,182929,34.083333333333336,38,55.5
2014,08,08,18,182929,33.416666666666664,22,57.583333333333336
2014,08,08,19,182929,30.5,37,60.25
2014,08,08,20,182929,31.5,10,58.833333333333336
2014,08,08,21,182929,31.125,6,58.875
2014,08,08,22,182929,33.0,8,56.888888888888886
2014,08,08,23,182929,28.0,1,65.5
2014,08,09,00,182929,33.5,3,55.3
2014,08,09,01,182929,25.416666666666668,8,73.75
2014,08,09,02,182929,28.5,1,65.25
2014,08,09,03,182929,28.333333333333332,3,66.0
2014,08,09,04,182929,39.90909090909091,5,46.45454545454545
2014,08,09,05,182929,37.583333333333336,11,51.916666666666664
2014,08,09,06,182929,33.5,17,57.75
2014,08,09,07,182929,33.666666666666664,40,54.5
2014,08,09,08,182929,38.333333333333336,85,48.666666666666664
2014,08,09,09,182929,39.75,122,46.0
2014,08,09,10,182929,36.416666666666664,81,50.416666666666664
2014,08,09,11,182929,36.083333333333336,68,50.916666666666664
2014,08,09,12,182929,38.5,72,47.833333333333336
2014,08,09,13,182929,36.666666666666664,48,50.916666666666664
2014,08,09,14,182929,35.5,44,52.0
2014,08,09,15,182929,34.083333333333336,59,54.416666666666664
2014,08,09,16,182929,39.583333333333336,65,47.5
2014,08,09,17,182929,37.166666666666664,19,50.333333333333336
2014,08,09,18,182929,32.166666666666664,21,58.166666666666664
2014,08,09,19,182929,39.166666666666664,27,48.583333333333336
2014,08,09,20,182929,33.666666666666664,22,54.416666666666664
2014,08,09,21,182929,32.416666666666664,15,56.583333333333336
2014,08,09,22,182929,28.416666666666668,7,64.91666666666667
2014,08,09,23,182929,36.0,9,53.5
2014,08,10,00,182929,29.5,1,62.166666666666664
2014,08,10,01,182929,28.75,2,63.5
2014,08,10,02,182929,26.583333333333332,3,69.08333333333333
2014,08,10,03,182929,24.0,1,76.0
2014,08,10,04,182929,29.363636363636363,12,63.63636363636363
2014,08,10,05,182929,36.81818181818182,17,56.54545454545455
2014,08,10,06,182929,34.333333333333336,15,53.916666666666664
2014,08,10,07,182929,34.916666666666664,40,54.083333333333336
2014,08,10,08,182929,40.0,83,46.166666666666664
2014,08,10,09,182929,37.25,69,49.5
2014,08,10,10,182929,38.333333333333336,85,48.0
2014,08,10,11,182929,37.833333333333336,97,48.5
2014,08,10,12,182929,36.416666666666664,97,50.416666666666664
2014,08,10,13,182929,36.916666666666664,77,50.75
2014,08,10,14,182929,36.916666666666664,34,50.916666666666664
2014,08,10,15,182929,35.416666666666664,77,52.166666666666664
2014,08,10,16,182929,34.583333333333336,38,53.416666666666664
2014,08,10,17,182929,34.25,44,53.5
2014,08,10,18,182929,36.0,28,52.333333333333336
2014,08,10,19,182929,33.81818181818182,20,57.36363636363637
2014,08,10,20,182929,37.333333333333336,31,52.166666666666664
2014,08,10,21,182929,35.333333333333336,14,53.75
2014,08,10,22,182929,31.0,0,59.0
2014,08,10,23,182929,31.666666666666668,1,57.75
2014,08,11,00,182929,35.63636363636363,0,52.0
2014,08,11,01,182929,40.0,0,46.0
2014,08,11,02,182929,30.5,6,61.166666666666664
2014,08,11,03,182929,28.166666666666668,27,65.41666666666667
2014,08,11,04,182929,32.583333333333336,93,57.583333333333336
2014,08,11,05,182929,52.666666666666664,189,39.666666666666664
2014,08,11,06,182929,63.75,220,31.0
2014,08,11,07,182929,46.166666666666664,154,40.083333333333336
2014,08,11,08,182929,39.0,125,47.916666666666664
2014,08,11,09,182929,36.583333333333336,158,50.333333333333336
2014,08,11,10,182929,35.4,50,51.8
2014,08,11,11,182929,37.63636363636363,117,48.63636363636363
2014,08,11,12,182929,37.166666666666664,98,49.5
2014,08,11,13,182929,37.81818181818182,157,48.36363636363637
2014,08,11,14,182929,38.36363636363637,137,47.72727272727273
2014,08,11,15,182929,39.18181818181818,93,46.72727272727273
2014,08,11,16,182929,35.083333333333336,71,53.833333333333336
2014,08,11,17,182929,36.5,31,52.833333333333336
2014,08,11,18,182929,34.0,45,54.25
2014,08,11,19,182929,31.5,50,58.25
2014,08,11,20,182929,40.0,4,47.333333333333336
2014,08,11,21,182929,32.25,6,56.5
2014,08,11,22,182929,34.0,2,54.0
2014,08,11,23,182929,32.0,7,57.75
2014,08,12,00,182929,27.0,0,68.0
2014,08,12,01,182929,27.666666666666668,2,66.66666666666667
2014,08,12,02,182929,34.666666666666664,6,53.416666666666664
2014,08,12,03,182929,26.083333333333332,22,70.58333333333333
2014,08,12,04,182929,32.0,101,58.0
2014,08,12,05,182929,45.083333333333336,204,44.083333333333336
2014,08,12,06,182929,50.583333333333336,302,37.416666666666664
2014,08,12,07,182929,40.166666666666664,150,46.0
2014,08,12,08,182929,38.333333333333336,157,48.0
2014,08,12,09,182929,38.5,131,47.75
2014,08,12,10,182929,36.583333333333336,156,50.5
2014,08,12,11,182929,38.5,136,47.416666666666664
2014,08,12,12,182929,35.583333333333336,138,51.583333333333336
2014,08,12,13,182929,37.083333333333336,146,49.5
2014,08,12,14,182929,35.81818181818182,154,51.09090909090909
2014,08,12,15,182929,36.90909090909091,126,49.63636363636363
2014,08,12,16,182929,37.72727272727273,54,49.27272727272727
2014,08,12,17,182929,32.666666666666664,36,56.25
2014,08,12,18,182929,33.5,33,56.25
2014,08,12,19,182929,33.833333333333336,38,54.166666666666664
2014,08,12,20,182929,33.8,12,54.6
2014,08,12,21,182929,30.571428571428573,7,60.142857142857146
2014,08,12,22,182929,31.333333333333332,1,58.333333333333336
2014,08,12,23,182929,35.57142857142857,3,51.142857142857146
2014,08,13,00,182929,35.0,0,52.0
2014,08,13,01,182929,35.0,0,52.0
2014,08,13,02,182929,35.0,0,52.0
2014,08,13,04,182929,32.5,17,56.5
2014,08,13,06,182929,48.0,20,38.0
2014,08,13,07,182929,36.0,44,51.0
2014,08,13,08,182929,36.0,9,51.0
2014,08,13,10,182929,42.5,28,42.5
2014,08,13,11,182929,38.416666666666664,122,48.0
2014,08,13,12,182929,37.583333333333336,149,48.583333333333336
2014,08,13,13,182929,38.083333333333336,126,48.416666666666664
2014,08,13,14,182929,39.666666666666664,141,46.166666666666664
2014,08,13,15,182929,38.833333333333336,134,47.083333333333336
2014,08,13,16,182929,31.166666666666668,79,58.75
2014,08,13,17,182929,35.416666666666664,53,53.25
2014,08,13,18,182929,28.75,26,64.0
2014,08,13,19,182929,41.166666666666664,41,48.75
2014,08,13,20,182929,36.0,4,51.5
2014,08,13,21,182929,33.2,3,56.8
2014,08,13,22,182929,33.375,6,57.375
2014,08,13,23,182929,28.4,7,64.8
2014,08,14,00,182929,28.6,3,64.3
2014,08,14,01,182929,29.083333333333332,3,63.833333333333336
2014,08,14,02,182929,29.88888888888889,2,61.22222222222222
2014,08,14,03,182929,27.25,17,67.875
2014,08,14,04,182929,32.9,73,56.8
2014,08,14,05,182929,59.5,121,33.833333333333336
2014,08,14,06,182929,52.625,187,35.625
2014,08,14,07,182929,41.714285714285715,91,44.0
2014,08,14,08,182929,41.875,90,43.875
2014,08,14,09,182929,40.833333333333336,101,45.666666666666664
2014,08,14,10,182929,37.0,27,49.5
2014,08,14,11,182929,36.0,52,51.0
2014,08,14,12,182929,37.42857142857143,79,49.142857142857146
2014,08,14,13,182929,34.285714285714285,75,53.42857142857143
2014,08,14,14,182929,39.111111111111114,137,46.888888888888886
2014,08,14,15,182929,34.666666666666664,30,52.666666666666664
2014,08,14,16,182929,33.166666666666664,36,55.333333333333336
2014,08,14,17,182929,34.0,32,54.375
2014,08,14,18,182929,33.75,22,55.375
2014,08,14,19,182929,49.75,14,44.0
2014,08,14,20,182929,33.285714285714285,12,55.285714285714285
2014,08,14,21,182929,35.2,5,54.8
2014,08,14,23,182929,26.666666666666668,2,68.33333333333333
2014,08,15,00,182929,29.636363636363637,3,61.72727272727273
2014,08,15,01,182929,31.833333333333332,2,57.75
2014,08,15,02,182929,34.583333333333336,3,53.166666666666664
2014,08,15,03,182929,33.416666666666664,27,55.416666666666664
2014,08,15,04,182929,33.916666666666664,79,55.166666666666664
2014,08,15,05,182929,47.083333333333336,244,40.666666666666664
2014,08,15,06,182929,46.166666666666664,288,41.333333333333336
2014,08,15,07,182929,36.54545454545455,138,50.36363636363637
2014,08,15,08,182929,36.5,182,50.5
2014,08,15,09,182929,35.916666666666664,139,51.166666666666664
2014,08,15,10,182929,35.09090909090909,108,52.18181818181818
2014,08,15,11,182929,37.416666666666664,139,49.083333333333336
2014,08,15,12,182929,39.0,121,47.54545454545455
2014,08,15,13,182929,39.166666666666664,133,46.916666666666664
2014,08,15,14,182929,37.5,121,49.083333333333336
2014,08,15,15,182929,36.5,114,50.333333333333336
2014,08,15,16,182929,36.25,77,50.666666666666664
2014,08,15,17,182929,33.583333333333336,62,55.75
2014,08,15,18,182929,33.916666666666664,25,54.75
2014,08,15,19,182929,37.666666666666664,24,53.416666666666664
2014,08,15,20,182929,29.333333333333332,18,63.0
2014,08,15,21,182929,27.833333333333332,15,66.33333333333333
2014,08,15,22,182929,30.916666666666668,7,59.416666666666664
2014,08,15,23,182929,37.333333333333336,8,52.0
2014,08,16,00,182929,28.727272727272727,5,64.27272727272727
2014,08,16,01,182929,21.916666666666668,7,92.5
2014,08,16,02,182929,23.083333333333332,4,80.41666666666667
2014,08,16,03,182929,28.666666666666668,1,64.66666666666667
2014,08,16,04,182929,30.0,6,61.583333333333336
2014,08,16,05,182929,31.916666666666668,17,59.083333333333336
2014,08,16,06,182929,35.25,36,53.583333333333336
2014,08,16,07,182929,36.25,60,51.0
2014,08,16,08,182929,34.142857142857146,65,53.714285714285715
2014,08,16,09,182929,37.0,89,49.8
2014,08,16,10,182929,37.166666666666664,126,49.25
2014,08,16,11,182929,36.916666666666664,74,50.083333333333336
2014,08,16,12,182929,33.75,109,54.333333333333336
2014,08,16,13,182929,32.583333333333336,38,57.833333333333336
2014,08,16,14,182929,36.0,47,51.25
2014,08,16,15,182929,39.0,58,47.916666666666664
2014,08,16,16,182929,31.166666666666668,65,59.083333333333336
2014,08,16,17,182929,34.916666666666664,33,53.666666666666664
2014,08,16,18,182929,36.25,31,51.833333333333336
2014,08,16,19,182929,46.166666666666664,16,45.583333333333336
2014,08,16,20,182929,36.833333333333336,26,51.0
2014,08,16,21,182929,36.166666666666664,28,51.666666666666664
2014,08,16,22,182929,35.083333333333336,12,53.916666666666664
2014,08,16,23,182929,35.0,16,53.45454545454545
2014,08,17,00,182929,32.916666666666664,22,56.666666666666664
2014,08,17,01,182929,32.916666666666664,5,56.75
2014,08,17,02,182929,42.416666666666664,1,42.75
2014,08,17,03,182929,38.083333333333336,4,63.0
2014,08,17,04,182929,29.5,6,62.25
2014,08,17,05,182929,28.166666666666668,10,66.91666666666667
2014,08,17,06,182929,31.916666666666668,14,60.916666666666664
2014,08,17,07,182929,32.333333333333336,51,57.416666666666664
2014,08,17,08,182929,34.0,65,54.25
2014,08,17,09,182929,34.5,79,53.166666666666664
2014,08,17,10,182929,34.166666666666664,72,53.833333333333336
2014,08,17,11,182929,35.25,99,52.083333333333336
2014,08,17,12,182929,36.5,96,50.083333333333336
2014,08,17,13,182929,33.75,65,54.416666666666664
2014,08,17,14,182929,36.166666666666664,57,51.166666666666664
2014,08,17,15,182929,34.5,66,53.333333333333336
2014,08,17,16,182929,35.25,70,52.083333333333336
2014,08,17,17,182929,32.666666666666664,36,57.083333333333336
2014,08,17,18,182929,29.75,46,61.75
2014,08,17,19,182929,31.833333333333332,40,57.833333333333336
2014,08,17,20,182929,32.25,23,57.25
2014,08,17,21,182929,31.416666666666668,4,58.666666666666664
2014,08,17,22,182929,26.583333333333332,1,69.25
2014,08,17,23,182929,27.0,0,68.0
2014,08,18,00,182929,27.0,0,68.0
2014,08,18,01,182929,27.2,0,67.4
