year,month,day,hour,REPORT_ID,avgMeasuredTime,vehicleCount,avgSpeed
2014,08,01,07,179336,86.5,34,37.5
2014,08,01,08,179336,80.5,209,41.583333333333336
2014,08,01,09,179336,75.5,184,44.5
2014,08,01,10,179336,79.5,243,41.666666666666664
2014,08,01,11,179336,71.75,216,47.666666666666664
2014,08,01,12,179336,74.0,211,45.333333333333336
2014,08,01,13,179336,71.66666666666667,211,46.583333333333336
2014,08,01,14,179336,69.25,202,48.25
2014,08,01,15,179336,77.41666666666667,154,43.0
2014,08,01,16,179336,69.0,102,49.916666666666664
2014,08,01,17,179336,63.833333333333336,87,55.083333333333336
2014,08,01,18,179336,54.083333333333336,48,64.25
2014,08,01,19,179336,60.583333333333336,63,58.166666666666664
2014,08,01,20,179336,61.09090909090909,50,58.45454545454545
2014,08,01,21,179336,54.583333333333336,25,61.666666666666664
2014,08,01,22,179336,48.54545454545455,15,67.45454545454545
2014,08,01,23,179336,51.333333333333336,19,66.25
2014,08,02,00,179336,70.0,7,50.333333333333336
2014,08,02,01,179336,43.75,5,76.41666666666667
2014,08,02,02,179336,45.75,16,71.58333333333333
2014,08,02,03,179336,43.25,5,75.41666666666667
2014,08,02,04,179336,44.72727272727273,16,74.27272727272727
2014,08,02,05,179336,48.45454545454545,32,67.72727272727273
2014,08,02,06,179336,49.083333333333336,39,66.91666666666667
2014,08,02,07,179336,51.0,92,63.833333333333336
2014,08,02,08,179336,55.916666666666664,93,61.0
2014,08,02,09,179336,51.916666666666664,136,65.5
2014,08,02,10,179336,53.416666666666664,155,61.416666666666664
2014,08,02,11,179336,51.25,140,63.666666666666664
2014,08,02,12,179336,51.416666666666664,129,63.333333333333336
2014,08,02,13,179336,50.083333333333336,130,65.41666666666667
2014,08,02,14,179336,48.583333333333336,113,67.0
2014,08,02,15,179336,51.333333333333336,108,63.583333333333336
2014,08,02,16,179336,46.416666666666664,75,70.16666666666667
2014,08,02,17,179336,44.75,49,74.58333333333333
2014,08,02,18,179336,47.25,69,69.25
2014,08,02,19,179336,48.25,72,67.66666666666667
2014,08,02,20,179336,48.833333333333336,57,67.5
2014,08,02,21,179336,56.833333333333336,60,58.083333333333336
2014,08,02,22,179336,51.333333333333336,36,63.583333333333336
2014,08,02,23,179336,53.36363636363637,24,61.45454545454545
2014,08,03,00,179336,61.166666666666664,19,55.0
2014,08,03,01,179336,48.583333333333336,14,69.5
2014,08,03,02,179336,56.083333333333336,5,59.0
2014,08,03,03,179336,46.0,2,71.33333333333333
2014,08,03,04,179336,46.5,10,71.25
2014,08,03,05,179336,50.25,14,71.91666666666667
2014,08,03,06,179336,58.916666666666664,17,56.666666666666664
2014,08,03,07,179336,52.083333333333336,41,66.08333333333333
2014,08,03,08,179336,55.833333333333336,92,65.66666666666667
2014,08,03,09,179336,48.75,112,67.08333333333333
2014,08,03,10,179336,60.583333333333336,113,56.833333333333336
2014,08,03,11,179336,60.083333333333336,175,55.25
2014,08,03,12,179336,53.333333333333336,137,62.583333333333336
2014,08,03,13,179336,61.75,133,54.75
