year,month,day,hour,REPORT_ID,avgMeasuredTime,vehicleCount,avgSpeed
2014,08,01,07,187589,126.0,3,22.5
2014,08,01,08,187589,117.58333333333333,7,26.5
2014,08,01,09,187589,104.33333333333333,4,28.0
2014,08,01,10,187589,115.0,11,26.333333333333332
2014,08,01,11,187589,121.33333333333333,11,24.5
2014,08,01,12,187589,200.83333333333334,9,15.166666666666666
2014,08,01,13,187589,148.75,6,19.5
2014,08,01,14,187589,163.83333333333334,11,17.5
2014,08,01,15,187589,167.0,1,17.0
2014,08,01,16,187589,167.0,0,17.0
2014,08,01,17,187589,125.33333333333333,4,27.833333333333332
2014,08,01,18,187589,89.33333333333333,6,32.5
2014,08,01,19,187589,90.0,2,32.0
2014,08,01,20,187589,71.6,1,40.8
2014,08,01,21,187589,157.0,2,18.0
2014,08,01,22,187589,131.63636363636363,2,21.272727272727273
2014,08,01,23,187589,126.0,0,22.0
2014,08,02,00,187589,126.0,0,22.0
2014,08,02,01,187589,126.0,0,22.0
2014,08,02,02,187589,122.5,2,23.166666666666668
2014,08,02,03,187589,120.0,0,24.0
2014,08,02,04,187589,120.0,0,24.0
2014,08,02,05,187589,122.18181818181819,2,23.272727272727273
2014,08,02,06,187589,126.0,0,22.0
2014,08,02,07,187589,131.83333333333334,2,21.166666666666668
2014,08,02,08,187589,102.33333333333333,9,29.083333333333332
2014,08,02,09,187589,79.33333333333333,3,36.166666666666664
2014,08,02,10,187589,124.25,10,23.416666666666668
2014,08,02,11,187589,133.0,3,25.5
2014,08,02,12,187589,144.66666666666666,6,22.083333333333332
2014,08,02,13,187589,75.66666666666667,1,38.0
2014,08,02,14,187589,139.25,7,21.333333333333332
2014,08,02,15,187589,124.5,12,23.083333333333332
2014,08,02,16,187589,130.5,1,21.5
2014,08,02,17,187589,117.08333333333333,8,26.5
2014,08,02,18,187589,111.0,0,26.0
2014,08,02,19,187589,111.0,0,26.0
2014,08,02,20,187589,68.0,2,42.0
2014,08,02,21,187589,68.0,0,42.0
2014,08,02,22,187589,68.0,0,42.0
2014,08,02,23,187589,60.72727272727273,2,47.09090909090909
2014,08,03,00,187589,58.0,0,49.0
2014,08,03,01,187589,58.0,0,49.0
2014,08,03,02,187589,58.0,0,49.0
2014,08,03,03,187589,60.333333333333336,2,47.333333333333336
2014,08,03,04,187589,75.5,2,40.333333333333336
2014,08,03,05,187589,102.66666666666667,1,33.0
2014,08,03,06,187589,77.0,2,45.75
2014,08,03,07,187589,148.5,1,18.5
2014,08,03,08,187589,145.0,0,19.0
2014,08,03,09,187589,114.0,4,26.166666666666668
2014,08,03,10,187589,159.0,0,18.0
2014,08,03,11,187589,156.0,2,18.0
2014,08,03,12,187589,120.83333333333333,6,23.916666666666668
